Month,Camden,Canopy,Westin,St Albans,CIV,CIE,EH
31/01/2022,944.5414594626458,2404.9996056367618,1944.14005711487,859.1264241703549,409.0729540702046,325.7441263298189,986.5137692202235
28/02/2022,1182.450970262741,2695.334738162617,2261.841767116065,872.4189052170783,428.0903227238043,333.93835640358486,978.4188627408436
31/03/2022,1256.527587920508,2906.2639893008254,2347.4088940698116,1105.4275000286395,492.8659970318117,403.84457909989254,1098.5670491190353
30/04/2022,1207.2036631126807,3353.972886751239,2774.149069495675,1099.9508431454137,497.4590310388362,379.97285311116843,1243.0243735187294
31/05/2022,1361.4178394964872,2919.1843163589247,2548.1233476722996,959.2780877966277,552.8504989782921,397.2289697435586,1096.6506050668515
30/06/2022,1142.363709469023,2608.590221954346,2268.436562484663,982.1521561551461,466.9326778415516,323.08690427714,1088.799531161491
31/07/2022,945.1910797020868,2695.455238700642,1945.386569805964,809.0366403506854,379.71532819571627,309.8758424275592,925.688857032644
31/08/2022,917.1464892714562,2231.588652618876,1609.4086928729077,686.1078507146675,307.21962354348864,250.43440241044442,767.7241924780114
30/09/2022,746.7910568355013,2004.6680681856299,1440.8938911352272,582.3651020018899,278.28972370148256,229.55389483441422,681.0819626494006
31/10/2022,736.2983913673658,1832.9373458727146,1410.7208038710905,606.0176586097215,301.3480673884291,198.54793817332782,659.0273319350009
30/11/2022,703.9440677693076,1972.7622333530912,1376.3308190504788,620.9597493058836,299.89154356071674,225.04784107852464,661.7609558693883
31/12/2022,934.8370899750336,2035.2472557784688,1538.4514434204173,636.6841848557932,367.7627522212127,251.47333594443023,739.6760485407162
31/01/2023,1016.7334864638505,2744.391594379536,2062.708712284774,830.766109670072,392.1259569618975,321.6513938585881,829.5773511718751
28/02/2023,1070.2777540173356,2802.7066850323627,2142.156190409823,865.9157765696131,480.5928722033146,319.76639844545787,988.8111247181487
31/03/2023,1308.896781088584,3244.7127521521247,2281.455537670455,1037.8657862192445,506.75533351668696,376.5270240862064,1234.4274046488977
30/04/2023,1182.5989159582616,3563.9369684578196,2640.6219768149344,967.3102458673198,502.6579810444359,376.34932763738317,1218.5846498253297
31/05/2023,1183.8764616876092,3409.470944812211,2533.019070868958,1026.3569651952323,475.992364277557,342.1940748885739,1170.2873773669962
30/06/2023,1147.147745480449,3124.6882254688753,2485.2671737194596,911.5519773767127,476.37122139075535,357.4409615042712,1104.8413169090095
31/07/2023,1025.6535084181576,2486.8888201769805,1854.6193956335628,724.0464694006728,368.3577959849784,305.93173290865303,944.2842542609683
31/08/2023,814.0497296714161,2153.132817590826,1817.355350984584,726.80429805227,343.08459568982033,270.1189929187055,834.9297488297923
30/09/2023,768.3775037921378,1694.8592836461644,1564.8511387007588,629.4823022965516,301.71276226297016,243.0275138529028,610.0119212697263
31/10/2023,680.5447690729335,1682.3123810103993,1491.631806435709,517.2123900081953,301.9860006675037,199.86679143521508,654.5517374181605
30/11/2023,780.7831313086418,1802.0585070962768,1507.8394399155218,573.1065954368635,324.9648716486902,241.11352394488318,653.6510712170349
31/12/2023,788.6931237788962,2021.1286066865787,1734.1616274239263,640.0675809169734,329.2535456343868,270.86912383379905,735.7674388466409
