Month,Camden,Canopy,Westin,St Albans,CIV,CIE,EH
31/01/2022,106.96640874050598,225.7740475485346,203.1227544163913,76.8196853157842,36.0136602052213,28.140017270072672,83.20303392713214
28/02/2022,102.86397322410798,267.1073068416153,225.4919892588302,88.34262286413326,42.17918446595267,33.66800223753551,90.41165095333115
31/03/2022,107.8220707528214,304.0434927926542,235.62242592203262,97.74034651792668,47.55370853608089,36.56350844237179,114.01108710212122
30/04/2022,121.11246855115817,316.1890316660337,262.02967543484544,87.34277979488198,44.1075243516389,33.30294908003071,108.00612006996884
31/05/2022,113.5930888090158,322.44010772675483,240.32512486705838,88.93835282048883,51.3430358195155,36.09065763247661,110.88023490372997
30/06/2022,108.19056648971258,251.56465068844486,230.57224619118676,84.86837478526209,45.344539640275016,32.089186662945814,100.9459367404351
31/07/2022,107.42687196007275,256.6887817943361,200.080465810057,73.95293082471633,39.82440126885685,27.628631439439413,94.23207834161938
31/08/2022,89.18401351204086,222.27241329434855,174.74356135145246,65.32295898351151,37.44657530176482,28.098057283685165,80.7627884009242
30/09/2022,76.08669555313558,220.620484104874,163.61591452945228,60.98605111238351,34.61982126980624,26.63185766322027,70.50711944661789
31/10/2022,84.84781921667116,188.83223669065723,175.98769189425468,67.90560156918208,30.615418389270786,23.638201297250774,67.425429248174
30/11/2022,77.22884386589796,195.1328523333859,177.7692624620755,68.3262582630215,32.61883208784916,24.185956621618615,74.20976142390434
31/12/2022,88.26072047074963,208.35960326510795,186.02824492663862,69.24831807604679,32.410341418516985,24.90933744922465,77.57522848105101
31/01/2023,93.2465882831236,241.6702870193579,191.70340605051726,87.8496920202767,39.99146487931959,29.074706814769428,86.89291028697338
28/02/2023,119.27935760873679,280.8046356820688,224.07565137846282,90.49694423917663,41.75281293468683,34.13378493189044,95.99510306123982
31/03/2023,114.06363478779454,306.67176418056107,221.83079324744475,98.63343336621384,44.57180717305061,38.27137342814751,107.45810718428675
30/04/2023,120.09665448932228,313.0420694304478,263.49819985918606,100.68980218106117,44.53451740072563,39.37739525578995,108.49711998322793
31/05/2023,115.17462340338882,292.9837844776014,227.0782577664504,101.21483110821814,45.768737452066055,33.89229929512334,106.9593559080116
30/06/2023,116.42653843878885,287.76774916959533,234.3327951414079,87.6257175530001,46.60041352343897,30.99205679764609,99.55348527694424
31/07/2023,109.21295426110136,270.8879472874038,195.38505362548239,80.18180426458498,40.30349105687434,30.711716412045856,98.6567662541407
31/08/2023,83.9142532212957,225.62049795589448,186.49638225610047,72.45823131406232,37.50837357070369,24.626159121726168,77.86671413683632
30/09/2023,88.7996279528617,195.36897676602797,152.58729626235697,60.471466919456084,29.98925297211811,23.632952361858965,69.99646184569679
31/10/2023,77.7270467636026,202.67256488492657,148.88802027318704,68.36547285903836,29.12819316632418,24.817457637116746,77.07121758244142
30/11/2023,88.74455510721785,211.60678700707928,155.6262829569191,64.8301467863669,35.66755845397223,23.274966362399596,69.3441389486529
31/12/2023,84.40494147345643,233.38951254911248,196.05644342051357,73.42984076067854,33.99172670659906,27.192196392265878,82.11104034119539
